,Date,Open,High,Low,Close,DeltaSP500,DeltaSP500-CUM,Delta%-SP500,Delta%-SP500-CUM
207,1928-10-26,21.65,21.65,21.65,21.65,-0.26000000000000156,3.9899999999999984,-0.01186672752167967,0.21188968612310496
208,1928-10-29,22.0,22.0,22.0,22.0,0.3500000000000014,4.34,0.016166281755196372,0.22805596787830135
209,1928-10-30,21.76,21.76,21.76,21.76,-0.23999999999999844,4.100000000000001,-0.010909090909090839,0.2171468769692105
210,1928-10-31,21.68,21.68,21.68,21.68,-0.08000000000000185,4.02,-0.0036764705882353786,0.21347040638097511
211,1928-11-01,21.99,21.99,21.99,21.99,0.3099999999999987,4.329999999999998,0.014298892988929831,0.22776929936990495
212,1928-11-02,21.95,21.95,21.95,21.95,-0.03999999999999915,4.289999999999999,-0.0018190086402910027,0.22595029072961395
213,1928-11-05,22.24,22.24,22.24,22.24,0.28999999999999915,4.579999999999998,0.013211845102505657,0.2391621358321196
214,1928-11-07,22.24,22.24,22.24,22.24,0.0,4.579999999999998,0.0,0.2391621358321196
215,1928-11-08,22.39,22.39,22.39,22.39,0.15000000000000213,4.73,0.006744604316546859,0.24590674014866645
216,1928-11-09,22.55,22.55,22.55,22.55,0.16000000000000014,4.890000000000001,0.007146047342563651,0.2530527874912301
217,1928-11-12,22.84,22.84,22.84,22.84,0.28999999999999915,5.18,0.012860310421285992,0.2659130979125161
218,1928-11-13,22.91,22.91,22.91,22.91,0.07000000000000028,5.25,0.0030647985989492245,0.2689778965114653
219,1928-11-14,22.91,22.91,22.91,22.91,0.0,5.25,0.0,0.2689778965114653
220,1928-11-15,23.03,23.03,23.03,23.03,0.120000000000001,5.370000000000001,0.005237887385421257,0.27421578389688656
221,1928-11-16,23.37,23.37,23.37,23.37,0.33999999999999986,5.710000000000001,0.01476335214937038,0.2889791360462569
222,1928-11-19,23.37,23.37,23.37,23.37,0.0,5.710000000000001,0.0,0.2889791360462569
